forecast_id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability,woeid
4596697574408192,Heavy Rain,hr,SE,2021-06-02T09:32:14.059820Z,2021-06-10,16.07,26.04,26.04,1.6714885071184282,137,1020,43,null,77,44418,
4598638782185472,Heavy Rain,hr,N,2021-06-06T12:43:55.592851Z,2021-06-14,13.63,16.54,16.54,2.224508868209655,1,1000,80,null,77,2122265,
4602561228177408,Light Cloud,lc,NW,2021-06-05T12:36:13.374422Z,2021-06-12,17.729999999999997,26.445,26,5.710611429253161,313,1020,46,9.999726596675416,70,638242,
4609637019025408,Heavy Cloud,hc,W,2021-06-03T15:32:09.253705Z,2021-06-09,14.355,24.86,23.48,3.248810944086535,270,1022,50,9.999726596675416,71,44418,
4616584027963392,Heavy Cloud,hc,ENE,2021-06-04T06:36:13.631684Z,2021-06-11,15.155,25.880000000000003,23.59,2.587486081285294,63.49999999999999,1013,43,9.999726596675416,71,638242,
4617528283234304,Heavy Rain,hr,SSW,2021-06-06T12:43:53.752970Z,2021-06-13,15.59,24.855,17.71,4.244502704207428,193.99999999999997,1001,83,9.627525252525253,77,2122265,
4624521127526400,Clear,c,SE,2021-06-06T03:43:52.381861Z,2021-06-13,17.45,25.5,24.9,2.5786904477849357,140,1017,40,null,68,2122265,
4625483200200704,Light Cloud,lc,NW,2021-06-05T15:36:13.144019Z,2021-06-12,16.395,27.105,27.36,5.337788713910761,314.5,1018,44,9.999726596675416,70,638242,
4634055954923520,Heavy Cloud,hc,NW,2021-06-07T06:36:10.261307Z,2021-06-13,10.655,19.71,19.06,7.5749906545772685,309,1019,58,9.999726596675416,71,638242,
4635524833738752,Heavy Rain,hr,NNW,2021-06-06T00:32:13.461109Z,2021-06-14,13.91,26.45,25.06,1.1371092817943211,340,1019,45,null,77,44418,
4642351415820288,Showers,s,ENE,2021-06-04T00:43:43.160524Z,2021-06-08,13.625,24.72,22.575000000000003,4.041795605792837,76.40436638546437,1014,46,14.610300843076434,73,2122265,
4645257498066944,Showers,s,SW,2021-06-01T06:32:09.966735Z,2021-06-08,14.57,26.45,23.86,2.8193853893263343,219.99999999999997,1019,55,9.624418396564066,73,44418,
4645781081423872,Heavy Rain,hr,SSE,2021-06-02T15:43:55.783438Z,2021-06-10,13.04,21.33,21.33,4.076195021076911,155,1015,57,null,77,2122265,
4649584040083456,Showers,s,NNW,2021-06-04T09:36:07.857104Z,2021-06-09,14.05,20.435,16.42,4.156232203929054,341,1018,56,9.999726596675416,73,638242,
4650883938779136,Heavy Rain,hr,NE,2021-06-04T00:36:13.277530Z,2021-06-11,15.8,24.2,23.64,1.522359420981468,55,1018,44,null,77,638242,
4652533206220800,Light Cloud,lc,ESE,2021-06-02T21:43:49.961074Z,2021-06-09,13.67,24.635,21.14,4.460815239004216,114.5,1017,42,9.999726596675416,70,2122265,
4653617484136448,Heavy Rain,hr,W,2021-06-03T18:36:16.778980Z,2021-06-11,15.87,22.41,21.27,3.622594050743657,273,1016,66,null,77,638242,
4655564647825408,Showers,s,W,2021-06-07T00:32:02.371346Z,2021-06-11,15.275,25.185,24.6,5.643051030438241,280.1172416228665,1020.5,57,14.306761015668496,73,44418,
